allocine_id,titre,annee,acteur
51223,Les Semeurs de peste,2003,Boris Alestchenkoff
51223,Les Semeurs de peste,2003,Serge Avédikian
51223,Les Semeurs de peste,2003,Christelle Gachon
64968,Lola,2003,Anouk Aimée
64968,Lola,2003,Marc Michel
64968,Lola,2003,Jacques Harden
42949,Innocents - The Dreamers,2003,Michael Pitt
42949,Innocents - The Dreamers,2003,Eva Green
42949,Innocents - The Dreamers,2003,Louis Garrel
45640,Thirteen,2003,Holly Hunter
45640,Thirteen,2003,Nikki Reed
45640,Thirteen,2003,Evan Rachel Wood
45043,Les Looney Tunes passent à l'action,2003,Brendan Fraser
45043,Les Looney Tunes passent à l'action,2003,Jenna Elfman
45043,Les Looney Tunes passent à l'action,2003,Timothy Dalton
53656,Les Clefs de bagnole,2003,Laurent Baffie
53656,Les Clefs de bagnole,2003,Daniel Russo
53656,Les Clefs de bagnole,2003,Pascal Sellem
48415,Ripoux 3,2003,Thierry Lhermitte
48415,Ripoux 3,2003,Philippe Noiret
48415,Ripoux 3,2003,Lorànt Deutsch
53459,Les Contes de l'horloge magique,2003,Nina Star
53459,Les Contes de l'horloge magique,2003,Rufus
47700,La Fin du règne animal,2003,Bruno Lochet
47700,La Fin du règne animal,2003,Hélène Fillières
47700,La Fin du règne animal,2003,Ana Gantes
54335,La Fille,2003,Nuno Melo
54335,La Fille,2003,Joana Barcia
54567,Derrida,2003,Jacques Derrida
39187,Le Seigneur des anneaux : le retour du roi,2003,Sean Astin
39187,Le Seigneur des anneaux : le retour du roi,2003,Elijah Wood
39187,Le Seigneur des anneaux : le retour du roi,2003,Viggo Mortensen
48285,Après vous...,2003,Daniel Auteuil
48285,Après vous...,2003,Sandrine Kiberlain
48285,Après vous...,2003,José Garcia
28388,In the Cut,2003,Nick Damici
28388,In the Cut,2003,Patrice O'Neal
28388,In the Cut,2003,Sharrieff Pugh
41157,Parfum de violettes,2003,Arcelia Ramírez
41157,Parfum de violettes,2003,Ximena Ayala
41157,Parfum de violettes,2003,Nancy Gutiérrez
4462,Les Tribulations de Balthasar Kober,2003,Michael Lonsdale
4462,Les Tribulations de Balthasar Kober,2003,Emmanuelle Riva
